subject_idx,gain_val,loss_val,choice_val,auc_val,RT,x-flip
1,16.0,32.0,0,-0.0721,468.0,2.0
1,12.0,22.5,0,-0.0051,593.0,5.0
1,2.0,1.0,0,-0.0974,577.0,8.0
1,8.0,11.0,0,0.0289,531.0,3.0
1,14.0,26.25,0,-0.0406,514.0,2.0
1,10.0,15.0,0,0.0925,437.0,4.0
1,9.0,9.0,0,-0.0698,468.0,2.0
1,8.0,2.0,0,0.0191,405.0,2.0
1,12.0,18.0,0,0.013,405.0,2.0
1,6.0,1.5,0,0.0978,437.0,4.0
1,8.0,7.0,0,-0.0279,390.0,3.0
1,14.0,8.75,0,-0.1373,437.0,2.0
1,14.0,19.25,0,-0.0593,390.0,4.0
1,14.0,3.5,0,-0.0893,561.0,4.0
1,14.0,10.5,0,-0.0763,406.0,2.0
1,5.0,1.875,0,-0.0635,515.0,2.0
1,16.0,26.0,0,-0.0231,406.0,1.0
1,2.0,1.5,0,0.13,375.0,2.0
1,16.0,16.0,0,-0.1597,592.0,8.0
1,6.0,7.5,0,0.1092,764.0,8.0
1,12.0,10.5,0,0.0107,764.0,4.0
1,4.0,1.5,0,0.1493,452.0,4.0
1,12.0,6.0,0,-0.0287,748.0,4.0
1,9.0,13.5,0,-0.0099,437.0,4.0
1,9.0,3.375,0,-0.0142,468.0,2.0
1,8.0,10.0,0,-0.1362,436.0,2.0
1,10.0,12.5,0,-0.0671,421.0,2.0
1,14.0,28.0,0,-0.0397,437.0,2.0
1,6.0,9.0,0,-0.2383,1201.0,7.0
1,4.0,5.5,0,-0.0274,718.0,4.0
1,5.0,1.25,0,-0.0306,655.0,2.0
1,12.0,24.0,0,-0.0926,858.0,4.0
1,5.0,2.5,0,-0.3312,1014.0,6.0
1,10.0,5.0,0,-0.0948,437.0,1.0
1,9.0,4.5,0,-0.0372,437.0,1.0
1,15.0,30.0,0,-0.016,468.0,1.0
1,16.0,12.0,0,-0.1896,453.0,2.0
1,5.0,5.625,0,-0.063,437.0,2.0
1,9.0,11.25,0,-0.1071,421.0,2.0
1,8.0,6.0,0,-0.0226,374.0,2.0
1,4.0,1.0,0,-0.0765,437.0,2.0
1,8.0,9.0,0,-0.071,421.0,2.0
1,16.0,10.0,0,0.0728,390.0,1.0
1,2.0,2.75,0,0.0274,749.0,6.0
1,5.0,7.5,0,-0.0547,671.0,1.0
1,4.0,5.0,0,0.0631,1061.0,6.0
1,2.0,2.0,0,-0.2193,874.0,14.0
1,9.0,15.75,0,0.0424,640.0,6.0
1,15.0,3.75,0,0.0309,1076.0,7.0
1,9.0,12.375,0,-0.0064,655.0,8.0
1,14.0,17.5,0,-0.0171,483.0,4.0
1,4.0,4.0,0,0.0104,390.0,4.0
1,10.0,17.5,0,-0.012,452.0,3.0
1,14.0,12.25,0,-0.0419,468.0,3.0
1,16.0,28.0,0,0.0123,436.0,6.0
1,4.0,4.5,0,0.1054,452.0,4.0
1,12.0,4.5,0,0.191,546.0,3.0
1,8.0,4.0,0,0.0246,499.0,5.0
1,14.0,21.0,0,-0.0004,437.0,2.0
1,8.0,15.0,0,-0.1057,452.0,1.0
1,2.0,0.5,1,-0.0064,827.0,13.0
1,2.0,1.25,1,0.2318,1436.0,17.0
1,12.0,16.5,1,0.0924,499.0,1.0
1,12.0,15.0,1,0.0906,593.0,1.0
1,9.0,18.0,1,-0.2305,640.0,6.0
1,16.0,18.0,0,-0.1396,515.0,3.0
1,15.0,26.25,1,0.0929,421.0,1.0
1,5.0,6.875,0,-0.0949,811.0,6.0
1,16.0,14.0,0,-0.0327,390.0,1.0
1,15.0,28.125,0,-0.1071,530.0,6.0
1,12.0,12.0,0,-0.1822,640.0,4.0
1,8.0,12.0,0,0.0514,562.0,7.0
1,16.0,30.0,0,0.0821,468.0,6.0
1,4.0,8.0,0,-0.1111,843.0,5.0
1,10.0,7.5,0,-0.1524,546.0,4.0
1,14.0,5.25,0,0.0967,437.0,2.0
1,8.0,14.0,0,-0.1016,858.0,11.0
1,9.0,2.25,0,0.0331,703.0,2.0
1,5.0,3.125,0,0.0094,640.0,1.0
1,5.0,8.75,0,0.0815,717.0,8.0
1,12.0,3.0,0,-0.093,1014.0,11.0
1,15.0,5.625,0,-0.04,624.0,4.0
2,6.0,4.5,1,2.9754,1202.0,10.0
2,5.0,6.875,0,-0.0298,1092.0,6.0
2,4.0,4.0,1,0.235,811.0,6.0
2,5.0,5.625,0,0.2996,686.0,6.0
2,10.0,3.75,1,0.5286,1576.0,10.0
2,4.0,3.0,0,0.509,889.0,4.0
2,6.0,1.5,0,0.1641,936.0,6.0
2,9.0,10.125,1,0.1679,749.0,4.0
2,15.0,24.375,1,0.2244,1435.0,9.0
2,5.0,3.75,0,-0.0151,702.0,4.0
2,2.0,2.0,0,0.1899,608.0,2.0
2,6.0,6.0,0,0.3125,577.0,6.0
2,2.0,4.0,1,0.189,1216.0,10.0
2,5.0,7.5,0,0.0981,764.0,2.0
2,14.0,5.25,0,0.1228,515.0,4.0
2,6.0,5.25,1,0.0625,1092.0,4.0
2,14.0,21.0,1,0.2081,702.0,7.0
2,8.0,13.0,0,-0.1431,717.0,2.0
